npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:5173
 HTTP  1/12/2026 1:15:35 AM ::1 GET /
 HTTP  1/12/2026 1:15:35 AM ::1 Returned 200 in 300 ms
 HTTP  1/12/2026 1:15:36 AM ::1 GET /_expo/static/js/web/__expo-metro-runtime-0c48b0beee2d3ce6030b475fcc5b1846.js
 HTTP  1/12/2026 1:15:36 AM ::1 GET /_expo/static/js/web/__common-582de8e738c16ebd610906d3762a1877.js
 HTTP  1/12/2026 1:15:36 AM ::1 GET /_expo/static/js/web/index-32a7bd22137aa9328ae347ccd68e331e.js
 HTTP  1/12/2026 1:15:36 AM ::1 Returned 200 in 6 ms
 HTTP  1/12/2026 1:15:36 AM ::1 Returned 200 in 8 ms
 HTTP  1/12/2026 1:15:36 AM ::1 Returned 200 in 25 ms
 HTTP  1/12/2026 1:15:36 AM ::1 GET /_expo/static/js/web/SplashScreen-6c7ffae215ff1adeac73857a3c633b22.js
 HTTP  1/12/2026 1:15:36 AM ::1 Returned 200 in 3 ms
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/assets/logo/mainlogoone.3d465e739755413de04023520a2f5fa4.png
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/assets/marcieimages/marcieimage1.a7205ece326a8d537f571947acc1cdd4.png
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/assets/fonts/barbie.22ab7b3f332228ebfaa2656f49b1a354.ttf
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/assets/fonts/cheese.7dd1196f2c652b4a1852b94901ea0d4a.ttf
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/assets/fonts/holiday.37ccd443a630e17f4001a48e389509f4.ttf
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/assets/fonts/sweet.86a7c2a32e41fc9224919e32f269d7fb.ttf
 HTTP  1/12/2026 1:15:37 AM ::1 Returned 200 in 8 ms
 HTTP  1/12/2026 1:15:37 AM ::1 Returned 200 in 7 ms
 HTTP  1/12/2026 1:15:37 AM ::1 Returned 200 in 6 ms
 HTTP  1/12/2026 1:15:37 AM ::1 Returned 200 in 7 ms
 HTTP  1/12/2026 1:15:37 AM ::1 Returned 200 in 10 ms
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/assets/fonts/wonderful.2b33184faf2ae0a4d034e4a83c577cf9.ttf
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/assets/fonts/cute.cca6c074837deac6966ec61d410a8c15.ttf
 HTTP  1/12/2026 1:15:37 AM ::1 Returned 200 in 5 ms
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/assets/fonts/nietha.e132774900adcabe4bc592dc4062bb7d.ttf
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/assets/fonts/pink.8fd927dfa2455d4076583b8f34beb30a.ttf
 HTTP  1/12/2026 1:15:37 AM ::1 Returned 200 in 21 ms
 HTTP  1/12/2026 1:15:37 AM ::1 Returned 200 in 19 ms
 HTTP  1/12/2026 1:15:37 AM ::1 Returned 200 in 28 ms
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/assets/fonts/smile.89acc9ec8854a868a3a4584a7c50cd30.ttf
 HTTP  1/12/2026 1:15:37 AM ::1 Returned 200 in 5 ms
 HTTP  1/12/2026 1:15:37 AM ::1 Returned 200 in 56 ms
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/animations/marcie-intro.f6c59ed996c766abf0d8f891ddee6af8.webm
 HTTP  1/12/2026 1:15:37 AM ::1 Returned 206 in 1 ms
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/assets/marcieimages/marcieimage2.cb50de8854319b8a6f765f6f8cd341ed.png
 HTTP  1/12/2026 1:15:37 AM ::1 Returned 200 in 7 ms
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/assets/logo/mainlogo.bffcc857f5d3dbe700b60ecae9fbc592.png
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/assets/logo/logo1.74b4c4475cf213ca80f2deec189f5fba.png
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/assets/logo/logo2.14b4c6aff8c460e61f6046515aaf5213.png
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/assets/logo/logo3.5ecc2134779ed53f94caa77f019116bc.png
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/assets/logo/logo4.f674dca1da4516488e6eeda3ac7ba1c0.png
 HTTP  1/12/2026 1:15:37 AM ::1 Returned 200 in 6 ms
 HTTP  1/12/2026 1:15:37 AM ::1 Returned 200 in 8 ms
 HTTP  1/12/2026 1:15:37 AM ::1 Returned 200 in 9 ms
 HTTP  1/12/2026 1:15:37 AM ::1 Returned 200 in 8 ms
 HTTP  1/12/2026 1:15:37 AM ::1 Returned 200 in 8 ms
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/assets/logo/logo5.14ece80d9cb31db2ac313c5b128a9b7f.png
 HTTP  1/12/2026 1:15:37 AM ::1 Returned 200 in 1 ms
 HTTP  1/12/2026 1:15:37 AM ::1 GET /assets/assets/logo/logo7.484c1782356444cca015dad291c4b1d8.png
